File,Title,Active,Date Created,Date Updated
Set_support_type_to_billing_if_ticket_received_at_billing@itsolver.net.json,Set support type to billing if ticket received at billing@itsolver.net,True,2016-11-13T11:45:25Z,2018-03-08T05:54:40Z
Notify_requester_remittance_advice_received_and_mark_solved.json,Notify requester remittance advice received and mark solved,True,2017-03-31T10:19:49Z,2018-03-08T06:15:03Z
Notify_requester_of_request_received_outside_of_business_hours_.json,Notify requester of request received outside of business hours ,True,2018-03-08T05:54:40Z,2018-06-11T22:35:20Z
Notify_requester_of_request_received_within_business_hours.json,Notify requester of request received within business hours,True,2013-03-13T00:29:03Z,2018-06-11T22:35:34Z
Notify_requester_of_comment_update.json,Notify requester of comment update,True,2013-03-13T00:29:03Z,2018-05-17T07:18:25Z
Notify_requester_of_comment_update_(copy).json,Notify requester of comment update (copy),False,2018-04-11T04:27:01Z,2018-04-11T04:27:07Z
Notify_assignee_of_comment_update.json,Notify assignee of comment update,False,2013-11-11T08:24:41Z,2018-04-11T04:27:01Z
Notify_requester_of_comment_update_after_solved_outside_of_business_hours.json,Notify requester of comment update after solved outside of business hours,True,2017-11-13T02:19:12Z,2018-04-11T07:20:42Z
Notify_requester_of_comment_update_after_solved_within_business_hours.json,Notify requester of comment update after solved within business hours,True,2018-03-08T06:49:58Z,2018-04-11T07:21:03Z
Notify_requester_of_solved_request.json,Notify requester of solved request,True,2013-11-11T08:14:33Z,2018-05-24T09:50:23Z
Send_reverse_marketing_emails_without_zendesk_headers.json,Send reverse marketing emails without zendesk headers,True,2018-05-24T09:46:18Z,2018-05-24T11:56:45Z
Close_Facebook_Posts_from_IT_Solver_Blog_Posts.json,Close Facebook Posts from IT Solver Blog Posts,False,2015-06-01T08:58:21Z,2018-05-24T09:46:19Z
Add_invoiced_tag.json,Add invoiced tag,True,2016-06-01T13:49:59Z,2018-05-24T09:46:19Z
Remove_ticket_from_waiting_list_once_booked_in.json,Remove ticket from waiting list once booked in,True,2016-06-16T23:50:50Z,2018-05-24T09:46:19Z
Warranty_job.json,Warranty job,True,2016-07-28T12:09:58Z,2018-05-24T09:46:19Z
"Set_Support_Type_to_Marketing_if_facebook_post_subject_contains_""Help_desk_approaching"".json","Set Support Type to Marketing if facebook post subject contains ""Help desk approaching""",False,2017-03-23T13:28:34Z,2018-05-24T09:46:19Z
"If_tagged_""phishing"",_advise_customer_about_phishing_threat_.json","If tagged ""phishing"", advise customer about phishing threat ",True,2018-02-05T05:00:17Z,2018-05-24T09:46:19Z
Zapier__create_invoice.json,Zapier: create invoice,True,2017-12-11T01:20:11Z,2018-05-24T09:46:19Z
Update_calendar_event.json,Update calendar event,True,2018-03-05T07:32:40Z,2018-05-24T09:46:19Z
Set_priority_to_normal_for_newly_created_tickets.json,Set priority to normal for newly created tickets,False,2016-12-13T22:50:31Z,2018-01-24T00:39:49Z
Pending_notification_3_days.json,Pending notification 3 days,True,2013-03-13T00:29:03Z,2017-12-18T11:42:22Z
Pending_notification_48_hours.json,Pending notification 48 hours,False,2013-03-13T00:29:03Z,2017-12-15T04:06:21Z
Pending_notification_7_days.json,Pending notification 7 days,False,2017-02-08T04:19:47Z,2017-12-18T11:42:35Z
Request_customer_satisfaction_rating.json,Request customer satisfaction rating,False,2014-09-18T09:37:50Z,2017-12-18T11:43:23Z
Close_ticket_5_days_after_status_is_set_to_pending.json,Close ticket 5 days after status is set to pending,True,2016-05-13T03:37:30Z,2018-03-22T01:31:04Z
Close_ticket_9_days_after_status_is_set_to_pending_7_days.json,Close ticket 9 days after status is set to pending 7 days,False,2016-08-17T03:10:44Z,2017-12-18T11:43:23Z
Close_ticket_9_days_after_status_is_set_to_pending_7_days.json,Close ticket 9 days after status is set to pending 7 days,False,2017-03-22T05:56:05Z,2017-12-18T11:43:23Z
Close_ticket_30_days_after_status_is_set_to_solved.json,Close ticket 30 days after status is set to solved,True,2013-03-13T00:29:03Z,2018-03-22T01:29:58Z
Close_FaceBook_Post_by_IT_Solver_after_8_hours_of_inactivity.json,Close FaceBook Post by IT Solver after 8 hours of inactivity,False,2017-08-21T02:41:33Z,2018-05-24T09:26:18Z
Close_Twitter_ticket_1_day_after_status_is_set_to_Solved.json,Close Twitter ticket 1 day after status is set to Solved,True,2013-04-16T14:11:55Z,2017-12-18T11:43:41Z
Request_customer_satisfaction_rating_via_Google_or_Facebook_review.json,Request customer satisfaction rating via Google or Facebook review,False,2017-01-25T10:25:45Z,2018-03-26T12:34:02Z
Pending_notification_3_days.json,Pending notification 3 days,False,2017-12-15T04:08:40Z,2017-12-18T11:43:41Z
Do_you_fix_or_install_TV_antennas_.json,Do you fix or install TV antennas?,True,2018-06-01T01:48:39Z,2018-06-01T01:48:39Z
